SourceRowId;Date;DocumentId;DocumentLineId;ProductId;ProductName;SpendOriginalCurrency;OriginalCurrency;SpendEUR;Quantity;UOM;VendorId;VendorName;VendorCity;VendorCountry;CategoryL1;CategoryL2
69041;44019;DOC235E1967D43;2;;;14445,79686;EUR;14445,79686;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69042;44022;DOC2E92F738F42;2;;;42631,12058;EUR;42631,12058;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69043;44023;DOC2CD16DF9B16;2;;;42631,12058;EUR;42631,12058;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69044;44015;DOC25014385EC6;2;;;14445,79686;EUR;14445,79686;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69045;44015;DOC2EE4B883E50;2;;;419,1237;EUR;419,1237;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69046;44019;DOC2F36B4CE509;2;;;42631,12058;EUR;42631,12058;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69047;44019;DOC256D2B4147D;2;;;419,1237;EUR;419,1237;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69048;44185;DOC203B7A0E2BC;2;;;4284,953059;EUR;4284,953059;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69049;44187;DOC238396EE191;2;;;4284,953059;EUR;4284,953059;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69050;44210;DOC23733719C41;2;;;42631,39999;EUR;42631,39999;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69051;44024;DOC2C20BBBBF2F;2;;;14445,79686;EUR;14445,79686;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69052;44024;DOC21375BE8AE0;2;;;42631,12058;EUR;42631,12058;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69053;44024;DOC2FEE65137DF;2;;;419,1237;EUR;419,1237;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69054;44029;DOC23078A84C49;2;;;419,1237;EUR;419,1237;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69055;44031;DOC2854B261EEA;2;;;42631,12058;EUR;42631,12058;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69056;44036;DOC2248DCA6663;2;;;4284,3756;EUR;4284,3756;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69057;44037;DOC279EDFCF1C4;2;;;4284,3756;EUR;4284,3756;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69058;44039;DOC2DD12151EEA;2;;;4284,3756;EUR;4284,3756;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69059;44049;DOC27615271C79;2;;;4284,3756;EUR;4284,3756;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69060;44062;DOC2D64FE8DEF3;2;;;4284,3756;EUR;4284,3756;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69061;44172;DOC240B2E73826;2;;;4284,953059;EUR;4284,953059;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69062;44174;DOC271CCFA86A5;2;;;4284,953059;EUR;4284,953059;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69063;44181;DOC271ABBA7EEA;2;;;4284,953059;EUR;4284,953059;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69064;44000;DOC27A59F3E90A;2;;;14445,79686;EUR;14445,79686;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69065;44001;DOC2F38284EF52;2;;;14445,79686;EUR;14445,79686;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69066;44006;DOC2E6A8DF4C04;2;;;419,1237;EUR;419,1237;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69067;44218;DOC28288618595;2;;;10319,75688;EUR;10319,75688;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69068;44223;DOC29808A20A8A;2;;;42631,39999;EUR;42631,39999;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
69069;44223;DOC24F719756CD;2;;;10319,75688;EUR;10319,75688;;;35;AC NIELSEN GmbH.;WIEN;AT;Indirect;Professional Services
